iter	Passed	Remaining
473	19304	4053456
474	19345	4053298
475	19385	4053195
476	19433	4054729
477	19469	4053582
478	19509	4053442
479	19547	4052923
480	19585	4052184
481	19623	4051579
482	19663	4051507
483	19701	4050847
484	19737	4049873
485	19777	4049726
486	19815	4049125
487	19855	4048961
488	19896	4048997
489	19935	4048535
490	19972	4047805
491	20009	4046906
492	20045	4046064
493	20083	4045458
494	20121	4044819
495	20158	4044030
496	20203	4044823
497	20246	4045276
498	20293	4046630
499	20339	4047524
500	20384	4048390
501	20422	4047743
502	20467	4048671
503	20506	4048319
504	20549	4048641
505	20592	4049132
506	20639	4050253
507	20679	4050050
508	20717	4049570
509	20759	4049747
510	20798	4049360
511	20839	4049442
512	20879	4049268
513	20916	4048521
514	20956	4048236
515	20994	4047628
516	21031	4046944
517	21070	4046587
518	21107	4045882
519	21143	4044944
520	21183	4044690
521	21220	4044076
522	21257	4043272
523	21300	4043615
524	21336	4042800
525	21375	4042423
526	21413	4041828
527	21453	4041755
528	21494	4041698
529	21534	4041647
530	21579	4042371
531	21618	4042055
532	21656	4041526
533	21696	4041372
534	21733	4040598
535	21778	4041362
536	21822	4041997
537	21868	4042980
538	21916	4044163
539	21962	4045198
540	22008	4046193
541	22046	4045623
542	22087	4045566
543	22133	4046598
544	22178	4047271
545	22222	4047899
546	22266	4048457
547	22313	4049415
548	22353	4049328
549	22394	4049362
550	22439	4050151
551	22484	4050770
552	22529	4051556
553	22573	4052041
554	22623	4053716
555	22663	4053460
556	22702	4053190
557	22745	4053499
558	22786	4053469
559	22827	4053526
560	22873	4054422
561	22921	4055600
562	22963	4055869
563	23009	4056770
564	23057	4057974
565	23106	4059273
566	23151	4059998
567	23198	4061018
568	23238	4060878
569	23275	4060197
570	23312	4059441
571	23353	4059346
572	23391	4058844
573	23430	4058533
574	23468	4057956
575	23506	4057567
576	23545	4057159
577	23582	4056470
578	23622	4056187
579	23660	4055775
580	23699	4055375
581	23737	4054886
582	23775	4054331
583	23813	4053891
584	23849	4053049
585	23888	4052602
586	23924	4051726
587	23963	4051533
588	24001	4051035
589	24039	4050535
590	24081	4050659
591	24120	4050275
592	24157	4049681
593	24194	4048988
594	24233	4048614
595	24278	4049352
596	24318	4049175
597	24361	4049484
598	24411	4050961
599	24450	4050675
600	24491	4050665
601	24528	4050020
602	24570	4050186
603	24610	4049937
604	24647	4049363
605	24686	4049056
606	24725	4048683
607	24770	4049291
608	24812	4049431
609	24853	4049423
610	24890	4048847
611	24927	4048266
612	24968	4048234
613	25014	4048945
614	25056	4049122
615	25100	4049734
616	25143	4050030
617	25185	4050211
618	25227	4050299
619	25271	4050696
620	25313	4050895
621	25356	4051243
622	25394	4050706
623	25432	4050312
624	25469	4049711
625	25514	4050231
626	25558	4050771
627	25602	4051304
628	25644	4051349
629	25680	4050542
630	25717	4049903
631	25755	4049412
632	25794	4049090
633	25831	4048498
634	25868	4047878
635	25906	4047415
636	25951	4048104
637	25991	4047854
638	26027	4047122
639	26068	4047094
640	26106	4046622
641	26146	4046522
642	26183	4045893
643	26221	4045490
644	26257	4044747
645	26295	4044140
646	26334	4043941
647	26380	4044750
648	26422	4044862
649	26459	4044291
650	26498	4043896
651	26535	4043287
652	26574	4042958
653	26612	4042634
654	26651	4042253
655	26689	4041891
656	26728	4041588
657	26765	4041011
658	26805	4040799
659	26848	4041126
660	26889	4041167
661	26930	4041157
662	26970	4040942
663	27007	4040395
664	27045	4039900
665	27086	4039975
666	27126	4039794
667	27165	4039467
668	27204	4039183
669	27241	4038667
670	27281	4038559
671	27324	4038772
672	27369	4039468
673	27410	4039367
674	27447	4038799
675	27485	4038426
676	27523	4037946
677	27561	4037603
678	27602	4037582
679	27640	4037150
680	27676	4036367
681	27713	4035883
682	27750	4035317
683	27787	4034687
684	27823	4034008
685	27861	4033640
686	27899	4033099
687	27935	4032515
688	27974	4032136
689	28012	4031739
690	28051	4031475
691	28091	4031338
692	28132	4031348
693	28168	4030674
694	28206	4030272
695	28249	4030614
696	28287	4030238
697	28315	4028406
698	28352	4027792
699	28394	4027902
700	28430	4027278
701	28472	4027377
702	28511	4027237
703	28549	4026824
704	28590	4026819
705	28629	4026516
706	28668	4026335
707	28711	4026536
708	28750	4026345
709	28787	4025833
710	28826	4025490
711	28862	4024886
712	28901	4024598
713	28939	4024257
714	28978	4023934
715	29014	4023335
716	29051	4022745
717	29089	4022360
718	29126	4021849
719	29166	4021787
720	29203	4021258
721	29243	4021053
722	29279	4020507
723	29317	4020065
724	29357	4019890
725	29396	4019750
726	29434	4019385
727	29472	4018914
728	29508	4018343
729	29545	4017750
730	29584	4017520
731	29620	4016876
732	29659	4016610
733	29696	4016124
734	29733	4015582
735	29769	4014950
736	29807	4014636
737	29845	4014250
738	29882	4013786
739	29918	4013182
740	29960	4013231
741	29996	4012603
742	30034	4012246
743	30073	4012098
744	30113	4011964
745	30152	4011677
746	30195	4012101
747	30232	4011580
748	30269	4011052
749	30305	4010404
750	30342	4009926
751	30383	4009926
752	30423	4009838
753	30462	4009610
754	30499	4009181
755	30539	4009025
756	30579	4008963
757	30616	4008546
758	30654	4008148
759	30691	4007716
760	30728	4007218
761	30766	4006777
762	30804	4006435
763	30842	4006118
764	30880	4005800
765	30918	4005388
766	30956	4005088
767	30995	4004840
768	31033	4004485
769	31070	4004103
770	31113	4004413
771	31153	4004256
772	31191	4003883
773	31227	4003363
774	31263	4002795
775	31300	4002304
776	31337	4001849
777	31376	4001544
778	31418	4001731
779	31457	4001602
780	31496	4001326
781	31533	4000910
782	31572	4000669
783	31609	4000255
784	31646	3999750
785	31686	3999713
786	31725	3999449
787	31763	3999107
788	31801	3998782
789	31838	3998361
790	31876	3998064
791	31913	3997530
792	31951	3997222
793	31987	3996711
794	32027	3996594
795	32066	3996331
796	32102	3995876
797	32140	3995503
798	32178	3995108
799	32220	3995311
800	32257	3994953
801	32297	3994810
802	32335	3994549
803	32374	3994296
804	32411	3993828
805	32450	3993638
806	32487	3993277
807	32526	3993051
808	32563	3992559
809	32600	3992213
810	32638	3991779
811	32675	3991456
812	32712	3991016
813	32748	3990437
814	32787	3990261
815	32833	3990832
816	32878	3991400
817	32923	3991996
818	32965	3992114
819	33004	3991944
820	33045	3992003
821	33082	3991603
822	33124	3991756
823	33162	3991369
824	33204	3991581
825	33247	3991821
826	33294	3992627
827	33341	3993366
828	33380	3993238
829	33418	3992940
830	33456	3992563
831	33495	3992443
832	33532	3992001
833	33569	3991596
834	33607	3991250
835	33644	3990838
836	33681	3990399
837	33719	3990048
838	33756	3989635
839	33796	3989547
840	33835	3989402
841	33875	3989356
842	33914	3989211
843	33951	3988702
844	33987	3988209
845	34024	3987790
846	34062	3987460
847	34102	3987460
848	34143	3987456
849	34183	3987382
850	34224	3987458
851	34262	3987131
852	34298	3986589
853	34333	3985998
854	34371	3985706
855	34410	3985535
856	34450	3985425
857	34489	3985275
858	34527	3984960
859	34565	3984708
860	34601	3984143
861	34638	3983775
862	34677	3983615
863	34713	3983093
864	34750	3982665
865	34790	3982541
866	34827	3982159
867	34863	3981675
868	34902	3981476
869	34938	3981032
870	34977	3980832
871	35017	3980695
872	35054	3980395
873	35093	3980153
874	35131	3979880
875	35170	3979679
876	35208	3979399
877	35245	3979065
878	35284	3978864
879	35323	3978664
880	35360	3978314
881	35396	3977836
882	35434	3977517
883	35472	3977308
884	35510	3977011
885	35546	3976489
886	35583	3976041
887	35623	3976010
888	35666	3976290
889	35707	3976334
890	35747	3976353
891	35783	3975815
892	35819	3975353
893	35857	3975094
894	35894	3974684
895	35932	3974373
896	35969	3974019
897	36008	3973828
898	36045	3973459
899	36082	3973052
900	36118	3972560
901	36155	3972255
902	36191	3971716
903	36229	3971441
904	36267	3971162
905	36304	3970852
906	36343	3970640
907	36380	3970242
908	36418	3969975
909	36457	3969819
910	36496	3969738
911	36535	3969525
912	36575	3969513
913	36614	3969307
914	36652	3969095
915	36692	3969011
916	36732	3969032
917	36771	3968821
918	36809	3968544
919	36847	3968268
920	36884	3967902
921	36920	3967462
922	36957	3967081
923	36996	3966999
924	37033	3966593
925	37070	3966204
926	37109	3966023
927	37149	3966056
928	37186	3965685
929	37224	3965418
930	37262	3965140
931	37300	3964928
932	37336	3964478
933	37376	3964432
934	37413	3963988
935	37449	3963512
936	37487	3963316
937	37527	3963286
938	37565	3962998
939	37601	3962565
940	37641	3962509
941	37677	3962085
942	37718	3962076
943	37755	3961738
944	37791	3961349
945	37830	3961145
946	37866	3960725
947	37904	3960457
948	37943	3960268
949	37986	3960631
950	38030	3960946
951	38077	3961679
952	38118	3961693
953	38155	3961412
954	38197	3961515
955	38237	3961463
956	38276	3961370
957	38315	3961207
958	38358	3961437
959	38402	3961854
960	38448	3962459
961	38494	3962987
962	38535	3963093
963	38572	3962751
964	38610	3962468
965	38648	3962220
966	38687	3962136
967	38724	3961768
968	38765	3961791
